,Prediction,Gold,ASR_BLEU
474,he said because it aint what i mean with me,did you tell ainhoa to go out with me,BLEU = 8.39 20.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
475,with time he has been a castle,with the time today was a coincidence,BLEU = 8.64 42.9/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
476,i have taken out of temper,ive had enough tea for today,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
477,and weak and wakes for voice,veiled his voice fainted,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4)
478,no medal,i dont delay,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
479,i was coming my ways of course,raining on wet a thousand times has passed,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
480,he confessed of moments and the cold and the storming,i confess that in that moment i felt the cold and the shivers of the fear,BLEU = 15.24 50.0/33.3/25.0/14.3 (BP = 0.549 ratio = 0.625 hyp_len = 10 ref_len = 16)
481,other resistance,for the resistance,BLEU = 30.33 50.0/50.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
482,when you see you have to be saved the same,if it hurts let me know it doesnt matter if its just a little bit,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 10 ref_len = 15)
483,dont know,i dont know him,BLEU = 36.79 100.0/100.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 2 ref_len = 4)
484,lattice slogan in the stories,look i cut the cookies in little pieces the cookies,BLEU = 4.67 40.0/12.5/8.3/6.2 (BP = 0.368 ratio = 0.500 hyp_len = 5 ref_len = 10)
485,it is the plaster of morbid and very different places,that dying pleasure that loved so much in so many different ways,BLEU = 3.44 10.0/5.6/3.1/1.8 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
486,no one can buy a bottle,where can i buy a secondhand clarinet,BLEU = 15.21 50.0/20.0/12.5/8.3 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
487,do you mean that the better would be one beat another beat,do you mean that it wouldnt be better to go to another beach,BLEU = 22.43 58.3/27.3/20.0/11.1 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
488,oh what is that what is that cassandra boy,oh whats that whats that oh my god a dog,BLEU = 5.61 33.3/6.2/3.6/2.1 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
489,after,after i do not know,BLEU = 1.83 100.0/0.0/0.0/0.0 (BP = 0.018 ratio = 0.200 hyp_len = 1 ref_len = 5)
490,it is better to be seen from hartbury,better shame in your face than a heartache,BLEU = 5.52 12.5/7.1/4.2/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
491,he sees the face we make you good,we give this good girl so hard times,BLEU = 6.57 25.0/7.1/4.2/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
492,i am followed by some one with the same,and if im pissed off with someone its with myself palomares,BLEU = 3.82 11.1/6.2/3.6/2.1 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
493,you got it,i will stay,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3)
494,every one inside the ship come on come on,all inside the ship now go go,BLEU = 17.75 33.3/25.0/14.3/8.3 (BP = 1.000 ratio = 1.286 hyp_len = 9 ref_len = 7)
495,the lack of information is not enough,lack of information does not justify anything,BLEU = 26.27 57.1/33.3/20.0/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
496,the ones one set up with a little distance,the ones who shot were close,BLEU = 9.54 22.2/12.5/7.1/4.2 (BP = 1.000 ratio = 1.500 hyp_len = 9 ref_len = 6)
497,with the horses wearing out to naked shadows,with the hair unbraiding on the naked shoulders,BLEU = 12.22 37.5/14.3/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
498,do what happens in saving with her,listen to ainhoa and go with her,BLEU = 13.13 28.6/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
499,poor pauper sights are wont wonder and you dont love you nothing would happen,poor things they love you so much yes they do love me wow dont tell them,BLEU = 5.86 28.6/7.7/4.2/2.3 (BP = 0.867 ratio = 0.875 hyp_len = 14 ref_len = 16)
500,hearing so many things me in this page,there are a lot of things in this site,BLEU = 10.79 37.5/14.3/8.3/5.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
501,nina cholera makes fearful,niña chole called me trembling,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
502,i said with arrogance,i talked with arrogance,BLEU = 35.36 75.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
503,very sorry,im very happy,BLEU = 30.33 50.0/50.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
504,when he saw it he started to crowd the back the freezer with the turn,when he saw us driving away the messed mob with the lash,BLEU = 12.87 40.0/21.4/7.7/4.2 (BP = 1.000 ratio = 1.250 hyp_len = 15 ref_len = 12)
505,you dont know why its lets go come on lets go,you dont know how this place is lets go lets leave this place,BLEU = 15.31 54.5/30.0/11.1/6.2 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
506,you are a man,you are a man,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
507,we we disputed for every one,what about talking about it having a moritz,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
508,but clero lets my friend,but of course as my friends know hes going to die,BLEU = 3.83 40.0/12.5/8.3/6.2 (BP = 0.301 ratio = 0.455 hyp_len = 5 ref_len = 11)
509,that moment he played me playing from the light of savages,and that the indian blocked it with savage dexterity,BLEU = 4.46 18.2/5.0/2.8/1.6 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9)
510,he tried a closing repeating inspired by me,try to relax take a deep breath,BLEU = 5.52 12.5/7.1/4.2/2.5 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
511,ulysses ulysses,ulises ulises no no,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 2 ref_len = 4)
512,they played together with rosary and the rosary story with their work,they adjust dispute bargain and after all just like a rosary being threshed,BLEU = 4.10 25.0/4.5/2.5/1.4 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
513,doors left of arabia,out of jealousy anger and love,BLEU = 9.69 25.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
514,can i bring some toys you can bring a toy,can i take my toys you can bring one,BLEU = 31.24 60.0/44.4/25.0/14.3 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
515,o k i am wont to be with you,o k im staying with you,BLEU = 13.49 44.4/25.0/7.1/4.2 (BP = 1.000 ratio = 1.500 hyp_len = 9 ref_len = 6)
516,what a something for something to take in this team,what do you say if i get someone to take care of the sheep tonight,BLEU = 5.63 30.0/11.1/6.2/3.6 (BP = 0.607 ratio = 0.667 hyp_len = 10 ref_len = 15)
517,one from spain,a wine from spain,BLEU = 39.43 66.7/50.0/50.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
518,we were the museum of prato to see the exposing,we went to prado museum to see the exposition,BLEU = 17.75 50.0/22.2/12.5/7.1 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
519,i am changed from the social screens,im tired of so many screens,BLEU = 6.57 14.3/8.3/5.0/3.1 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
520,its how the solemn boat of tweeds palace,thats her the salambo of the palaces of tequil,BLEU = 5.80 25.0/7.1/4.2/2.5 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
521,it is going to say,it will get cold,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
522,it is a safety,its from a shipwreck without a doubt,BLEU = 7.55 25.0/16.7/12.5/12.5 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
523,nothing was interesting to a man of the space only the toys,nothing interesting for a spaceman only for the toys,BLEU = 8.91 50.0/9.1/5.0/2.8 (BP = 1.000 ratio = 1.333 hyp_len = 12 ref_len = 9)
524,one de guzman is my friend and however it has never happened,juan de guzman is my friend yet i would not have dared to,BLEU = 29.17 41.7/36.4/30.0/22.2 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
525,dont worry,dont worry,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2)
526,the ones kilometers for the inspired feelings,the kilometers covered by the vacuum are not measured,BLEU = 6.50 42.9/8.3/5.0/3.1 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
527,lets go to morrow,lets be on our way,BLEU = 12.44 25.0/16.7/12.5/12.5 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
528,none of them will not go to them,neither of us its worth it to them,BLEU = 12.22 37.5/14.3/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
529,spare me we will go run after you,wait a moment we will go down with you,BLEU = 19.49 50.0/28.6/16.7/10.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
530,to remain,beach or mountain,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
531,fifteen years old he lives in hereford,a fifteen year old from guadalajara who lives close to here,BLEU = 4.88 42.9/8.3/5.0/3.1 (BP = 0.565 ratio = 0.636 hyp_len = 7 ref_len = 11)
532,if you dont like down we will not go,without solidarity we are nothing,BLEU = 4.77 11.1/6.2/3.6/2.1 (BP = 1.000 ratio = 1.800 hyp_len = 9 ref_len = 5)
533,this is a detestable test,this is a mess,BLEU = 39.76 60.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
534,my king love,my beloved king,BLEU = 34.67 66.7/25.0/25.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3)
535,you will not get out dont feel like you write,why dont you just shut up you dont get it right,BLEU = 5.37 40.0/5.6/3.1/1.8 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11)
536,before the costume came to stop to pause,before i learn to ride a bike,BLEU = 6.57 25.0/7.1/4.2/2.5 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
537,no please we will be on,no please please stop,BLEU = 16.23 33.3/20.0/12.5/8.3 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4)
538,the radio has been stopped,the radio is broke,BLEU = 21.36 40.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
539,the girls tossed about in the back,the girls didnt want to go to the pool,BLEU = 10.92 42.9/16.7/10.0/6.2 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
540,it is better to crave,better to take advantage than to throw it,BLEU = 12.98 60.0/25.0/16.7/12.5 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
541,and with large forces it made mainly the capital that followed immediately,with a loud voice i sent the stable boys to saddle the horses to leave right away,BLEU = 2.65 16.7/4.5/2.5/1.4 (BP = 0.659 ratio = 0.706 hyp_len = 12 ref_len = 17)
542,without flowers it is expended an automatic brace,with that strange and waving grace of nomadic race,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
543,he crossed the threshold of the cast and murmured put on scented,he crossed the mantilla over her chest and muttered as she turned on,BLEU = 13.18 41.7/18.2/10.0/5.6 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13)
544,the four,the candles,BLEU = 50.00 50.0/50.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2)
545,the promotion of the apartment and safe they will go,advertise the apartment and somebody will rent it,BLEU = 16.78 40.0/22.2/12.5/7.1 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
546,you son daughter you have money,you see son doing yoga,BLEU = 9.65 33.3/10.0/6.2/4.2 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
547,brother say the brother o k,little brother says little brother come on,BLEU = 8.17 33.3/10.0/6.2/4.2 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
548,the forests have no soda forests,the masieta forests have no undergrowth,BLEU = 32.47 66.7/40.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
549,all of the bodies,guys take all the harpoons,BLEU = 14.79 50.0/16.7/12.5/12.5 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
550,the animal does not die by human presence,the animal doesnt feel threatened by human presence,BLEU = 25.85 62.5/42.9/16.7/10.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
551,he said the race and murmured in couple,he got closer and murmured by my side,BLEU = 12.22 37.5/14.3/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
552,you might be hoisted and cap the spur,i had to punished them with the spurs for a faster pace,BLEU = 3.35 12.5/7.1/4.2/2.5 (BP = 0.607 ratio = 0.667 hyp_len = 8 ref_len = 12)
553,the pablo and the whites coming in spring,the grapevine and the fig green in spring,BLEU = 16.52 62.5/28.6/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
554,it is impossible to know the exact point where this island,its impossible to know the exact location of the island,BLEU = 36.72 54.5/40.0/33.3/25.0 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
555,they have the head,has the head proclaimed,BLEU = 31.95 50.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
556,i have passed on back i have passed him,whats in the past is in the past,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.125 hyp_len = 9 ref_len = 8)
557,to day it is wealthy far of the rice,the distant sound of the rain could be heard,BLEU = 9.54 22.2/12.5/7.1/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
558,no nothing was nothing,no dont say anything,BLEU = 15.97 25.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
559,i dont think it is the convent conveniences it is that on the continent,i dont think its advisable its best that you unplug it,BLEU = 12.01 35.7/15.4/8.3/4.5 (BP = 1.000 ratio = 1.273 hyp_len = 14 ref_len = 11)
560,all changes were carried out,all the changes have been saved,BLEU = 10.40 40.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
561,you must go to the beach,do you want me to take you to the beach today,BLEU = 14.11 66.7/40.0/25.0/16.7 (BP = 0.435 ratio = 0.545 hyp_len = 6 ref_len = 11)
562,he spends a moment,come in for a moment,BLEU = 24.88 50.0/33.3/25.0/25.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
563,no its not the first is it,no its not about the parties the thing is,BLEU = 20.87 71.4/33.3/20.0/12.5 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
564,he works as a common and working job,everyones work anyones work,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 2.000 hyp_len = 8 ref_len = 4)
565,will vera cruz,well return to veracruz,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
566,no no no no,no no no it does not work no,BLEU = 23.51 100.0/66.7/50.0/50.0 (BP = 0.368 ratio = 0.500 hyp_len = 4 ref_len = 8)
567,it can be manuated with this terrestrial system,can we create a tracking system with this,BLEU = 13.13 50.0/14.3/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
568,they are not for this they are not allowed a diploma,these wont work because they are like cigarette paper,BLEU = 7.50 18.2/10.0/5.6/3.1 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9)
569,we have not time to do the franchise in your studies,we didnt tell you so you dont miss your tranquility with your studies,BLEU = 6.92 27.3/10.0/5.6/3.1 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13)
570,i have no devotion for servants,i love prunes,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 2.000 hyp_len = 6 ref_len = 3)
571,ive started my leg aching mother,i miraculously unharmed yelled,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4)
572,happy is ainhoe good o k,happy six ainhoa good did you like it,BLEU = 6.92 33.3/10.0/6.2/4.2 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
573,what a scandal,what a nice coolness,BLEU = 39.43 66.7/50.0/50.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
574,we are not officially together,arent we officially together,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
575,it is better to be starved,its better to cut fifteen seconds,BLEU = 16.23 33.3/20.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
576,word palamarus,you must keep your promises,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.223 ratio = 0.400 hyp_len = 2 ref_len = 5)
577,where did wait,where he expected to stop,BLEU = 14.13 33.3/25.0/25.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5)
578,they are opened by nels,there is a blizzard watch,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
579,please listen,please listen,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2)
580,come on i received a very good very good,come on have a laugh very good like that,BLEU = 14.26 55.6/25.0/7.1/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
581,i barely stopped me and yet stopped my people,once i saw it i stopped and i stopped my people,BLEU = 16.90 66.7/25.0/14.3/8.3 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
582,but some one happens to count on you,but i just realized that i wasnt missing anything,BLEU = 4.87 12.5/7.1/4.2/2.5 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
583,like those reminiscences that the dreams of life,like those memories that dreams give us sometimes in life,BLEU = 10.82 62.5/14.3/8.3/5.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10)
584,when he came to me i raised my hunting house with his houses,looking at me standing up fled quickly disrupting the house with its trills,BLEU = 6.84 23.1/8.3/4.5/2.5 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
585,hes something for long times,i was shook by the big shuddering and i lied down,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.301 ratio = 0.455 hyp_len = 5 ref_len = 11)
586,i feel sorry,i make an appointment in the hairdresser,BLEU = 7.25 33.3/25.0/25.0/0.0 (BP = 0.264 ratio = 0.429 hyp_len = 3 ref_len = 7)
587,it is better to leave it,its better if we leave it,BLEU = 17.97 50.0/20.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
588,albany began an agent,they showed a gentle courtesy when they saw me,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.287 ratio = 0.444 hyp_len = 4 ref_len = 9)
589,being in the same ship that has been making happy,being in the same ship only made her unhappy,BLEU = 39.28 50.0/44.4/37.5/28.6 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
590,chapter twenty eight,chapter twenty one,BLEU = 55.03 66.7/50.0/50.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3)
591,my love to their daughter invited me,im so happy that your daughter invited me,BLEU = 21.19 42.9/33.3/20.0/12.5 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
592,i thought id think up the love man of the sin,i thought that i had broken forever the love nets of sin,BLEU = 10.71 54.5/20.0/5.6/3.1 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
593,they had always had minimum of romance as a romantic romance,i had always lacked the mood like a romantic damsel,BLEU = 10.60 36.4/20.0/5.6/3.1 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
594,former winners that were paddigators that was left with a lot of certain,old highwaymen are tired of the adventurous life and angry of the uncertain loot,BLEU = 2.86 7.7/4.2/2.3/1.2 (BP = 0.926 ratio = 0.929 hyp_len = 13 ref_len = 14)
595,its cousin,their cousin is a judge,BLEU = 11.16 50.0/50.0/0.0/0.0 (BP = 0.223 ratio = 0.400 hyp_len = 2 ref_len = 5)
596,not a toy,it is not a flying toy,BLEU = 23.17 100.0/50.0/50.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 3 ref_len = 6)
597,i only want to talk a minute,i just want to talk to you for a minute,BLEU = 20.96 85.7/50.0/20.0/12.5 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
598,how about three out o five,what about three of five,BLEU = 17.97 50.0/20.0/12.5/8.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
599,officer it has an idea,officer i have an idea,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
